iter	Passed	Remaining
0	144	144785
1	146	72875
2	147	48935
3	148	36962
4	149	29776
5	150	24980
6	153	21740
7	155	19227
8	156	17212
9	157	15591
10	158	14276
11	159	13172
12	160	12223
13	162	11415
14	163	10722
15	164	10110
16	165	9589
17	168	9174
18	169	8771
19	171	8391
20	172	8047
21	174	7759
22	175	7468
23	176	7191
24	177	6937
25	179	6706
26	180	6498
27	182	6332
28	183	6150
29	184	5972
30	185	5807
31	186	5648
32	187	5501
33	188	5359
34	189	5226
35	190	5103
36	191	4988
37	192	4882
38	194	4780
39	196	4709
40	197	4620
41	198	4531
42	199	4448
43	200	4364
44	201	4285
45	203	4212
46	204	4146
47	205	4078
48	206	4016
49	208	3954
50	210	3920
51	212	3870
52	213	3814
53	214	3756
54	215	3705
55	216	3655
56	218	3607
57	218	3556
58	220	3509
59	221	3464
60	222	3424
61	224	3393
62	226	3368
63	227	3333
64	229	3298
65	230	3262
66	231	3228
67	232	3192
68	234	3157
69	235	3122
70	235	3087
71	236	3053
72	237	3020
73	240	3008
74	241	2983
75	242	2954
76	243	2924
77	244	2894
78	245	2866
79	246	2837
80	247	2812
81	248	2786
82	249	2756
83	250	2732
84	251	2710
85	253	2689
86	254	2674
87	256	2657
88	257	2636
89	258	2615
90	259	2594
91	260	2573
92	261	2552
93	262	2532
94	263	2513
95	264	2493
96	265	2473
97	266	2454
98	267	2435
99	269	2425
100	271	2412
101	272	2396
102	273	2379
103	274	2362
104	275	2346
105	276	2329
106	277	2314
107	278	2299
108	279	2284
109	280	2269
110	281	2255
111	282	2240
112	285	2237
113	286	2224
114	287	2211
115	288	2198
116	289	2183
117	290	2169
118	291	2156
119	292	2142
120	293	2130
121	294	2116
122	295	2105
123	296	2092
124	297	2082
125	299	2078
126	300	2066
127	301	2056
128	302	2045
129	303	2034
130	305	2023
131	306	2012
132	307	2002
133	308	1991
134	309	1981
135	310	1971
136	311	1962
137	312	1952
138	314	1948
139	315	1940
140	316	1930
141	317	1919
142	318	1909
143	319	1900
144	320	1891
145	321	1882
146	322	1872
147	323	1864
148	324	1855
149	325	1847
150	327	1838
151	328	1831
152	330	1827
153	331	1821
154	332	1814
155	334	1807
156	334	1798
157	336	1791
158	337	1785
159	338	1778
160	339	1768
161	340	1761
162	341	1753
163	342	1745
164	344	1745
165	346	1739
166	347	1732
167	348	1725
168	349	1718
169	350	1711
170	351	1705
171	353	1700
172	354	1694
173	355	1687
174	356	1680
175	357	1674
176	360	1674
177	362	1671
178	363	1666
179	364	1661
180	365	1654
181	366	1648
182	367	1642
183	369	1636
184	370	1630
185	371	1624
186	372	1618
187	374	1616
188	375	1611
189	376	1606
190	377	1600
191	379	1596
192	380	1590
193	381	1584
194	382	1579
195	383	1573
196	384	1567
197	385	1562
198	386	1556
199	388	1553
200	390	1550
201	391	1545
202	392	1540
203	393	1535
204	394	1529
205	395	1524
206	396	1519
207	397	1514
208	398	1509
209	399	1503
210	400	1498
211	401	1493
212	404	1492
213	405	1489
214	406	1484
215	407	1479
216	409	1478
217	410	1473
218	412	1469
219	413	1465
220	414	1460
221	415	1455
222	416	1450
223	418	1448
224	419	1446
225	421	1442
226	422	1437
227	423	1433
228	424	1428
229	426	1426
230	427	1422
231	428	1418
232	429	1413
233	430	1408
234	431	1404
235	432	1401
236	434	1399
237	435	1395
238	436	1391
239	437	1386
240	438	1382
241	440	1378
242	441	1374
243	442	1370
244	443	1366
245	444	1361
246	445	1357
247	446	1353
248	448	1352
249	450	1350
250	451	1346
251	452	1343
252	453	1339
253	454	1335
254	455	1330
255	456	1326
256	457	1323
257	458	1319
258	459	1315
259	460	1311
260	462	1308
261	463	1306
262	465	1304
263	466	1301
264	467	1297
265	468	1293
266	469	1289
267	470	1285
268	471	1281
269	472	1278
270	474	1275
271	475	1271
272	476	1267
273	477	1265
274	479	1263
275	480	1261
276	481	1257
277	482	1254
278	484	1250
279	485	1247
280	486	1243
281	487	1240
282	488	1236
283	489	1233
284	490	1229
285	491	1226
286	493	1225
287	494	1223
288	495	1219
289	496	1216
290	498	1213
291	499	1211
292	501	1208
293	502	1205
294	503	1202
295	504	1199
296	505	1196
297	508	1197
298	509	1195
299	510	1192
300	512	1189
301	513	1186
302	514	1184
303	516	1181
304	517	1178
305	518	1175
306	519	1172
307	520	1169
308	522	1167
309	523	1165
310	524	1162
311	525	1159
312	526	1156
313	528	1153
314	529	1150
315	530	1147
316	531	1144
317	532	1141
318	533	1138
319	534	1135
320	535	1133
321	537	1131
322	538	1129
323	539	1126
324	541	1124
325	542	1122
326	544	1120
327	545	1117
328	546	1114
329	547	1112
330	548	1109
331	549	1106
332	551	1103
333	552	1102
334	554	1099
335	555	1096
336	556	1094
337	557	1091
338	558	1088
339	559	1085
340	560	1083
341	561	1080
342	562	1078
343	564	1076
344	565	1074
345	567	1072
346	568	1070
347	569	1067
348	571	1065
349	572	1063
350	574	1061
351	575	1059
352	576	1056
353	577	1054
354	578	1051
355	580	1049
356	583	1050
357	584	1048
358	585	1045
359	586	1043
360	587	1040
361	588	1038
362	590	1035
363	591	1033
364	592	1030
365	593	1028
366	594	1026
367	597	1025
368	598	1023
369	599	1021
370	600	1018
371	601	1016
372	602	1013
373	604	1011
374	605	1009
375	606	1006
376	607	1004
377	608	1001
378	609	999
379	612	999
380	613	997
381	614	994
382	615	992
383	616	989
384	617	986
385	618	984
386	619	981
387	620	979
388	621	976
389	622	974
390	623	971
391	624	969
392	627	968
393	628	966
394	629	964
395	630	961
396	631	959
397	632	956
398	633	954
399	634	951
400	635	949
401	636	947
402	637	944
403	638	942
404	639	939
405	641	938
406	642	936
407	643	933
408	644	931
409	645	929
410	647	927
411	648	924
412	649	922
413	650	920
414	651	917
415	652	915
416	653	913
417	654	910
418	655	908
419	656	907
420	658	904
421	659	902
422	660	900
423	661	898
424	662	895
425	663	893
426	664	891
427	665	889
428	666	886
429	667	884
430	668	882
431	669	880
432	670	878
433	672	876
434	673	874
435	674	872
436	675	869
437	676	867
438	677	865
439	678	863
440	679	860
441	680	858
442	681	856
443	682	854
444	682	851
445	684	849
446	685	847
447	686	846
448	687	844
449	688	842
450	689	839
451	691	837
452	691	835
453	692	833
454	693	831
455	694	829
456	695	826
457	696	824
458	697	822
459	698	820
460	699	818
461	701	816
462	702	814
463	703	812
464	704	810
465	705	808
466	706	806
467	707	804
468	708	801
469	709	799
470	710	797
471	711	795
472	712	793
473	713	791
474	714	789
475	716	788
476	717	786
477	718	784
478	719	782
479	720	780
480	721	778
481	722	776
482	723	774
483	724	772
484	725	770
485	726	768
486	727	766
487	728	764
488	729	762
489	731	761
490	732	759
491	734	757
492	735	756
493	736	754
494	737	752
495	738	750
496	739	748
497	740	746
498	741	744
499	742	742
500	743	740
501	744	738
502	745	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	726
508	751	725
509	752	723
510	753	721
511	754	719
512	755	717
513	756	715
514	757	713
515	758	711
516	759	709
517	761	708
518	762	706
519	763	704
520	764	702
521	765	701
522	766	699
523	767	697
524	768	695
525	769	693
526	770	691
527	771	690
528	772	688
529	773	686
530	774	684
531	776	682
532	777	680
533	778	679
534	779	677
535	780	675
536	781	673
537	782	671
538	783	669
539	784	667
540	785	666
541	786	664
542	786	662
543	787	660
544	788	658
545	789	656
546	791	655
547	792	653
548	793	651
549	794	649
550	795	648
551	796	646
552	797	644
553	798	642
554	799	640
555	800	638
556	801	637
557	801	635
558	802	633
559	803	631
560	805	629
561	806	628
562	807	626
563	808	624
564	809	623
565	810	621
566	811	619
567	812	617
568	813	615
569	814	614
570	814	612
